First Name,Credit Account Number,Identification Number,Date of Birth,Address,Phone Number,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Last Name,Credit Max,Credit Starting Balance
Mufassa,3012,13,19-Jan-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1012,148.68,2012,3846.05,Disney,7463,-1112.18
Aurora,3013,14,12-Jun-60,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1013,343.45,2013,4806.74,Disney,8372,-169.44
Woody,3015,16,2-Apr-95,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1015,258.06,2015,2429.23,Disney,7932,-1005.79
Beast,3019,20,16-Aug-98,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1019,1849.03,2019,4398.81,Disney,7687,-160.2
Belle,3020,21,5-Oct-54,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1020,517.81,2020,2434.75,Disney,8396,-1024.19
Gaston,3024,25,11-Aug-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1024,168.24,2024,994.47,Disney,3397,-1264.11
Kaa,3027,28,22-Feb-69,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1027,928.76,2027,423.8,Disney,3237,-864.26
Pinocchio,3029,30,20-Mar-08,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1029,1280.77,2029,1412.45,Disney,9149,-14.76
Quasimodo,3031,32,17-Sep-71,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1031,483.57,2031,2302.79,Disney,5023,-1454.15
Hercules,3032,33,30-Jun-66,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1032,1270.03,2032,1388.27,Disney,5094,-1855.19
Mulan,3033,34,14-Oct-79,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1033,1774.26,2033,1216.15,Disney,7881,-397.68
Lilo,3034,35,19-Jul-44,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1034,1763.47,2034,1942.89,Disney,7722,-1715.37
Stitch,3035,36,3-Feb-28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1035,387.32,2035,4919.61,Disney,8172,-16.87
Donald,3001,2,7-Apr-94,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1001,1928.58,2001,3582.37,Duck,8147,-1513.57
Daniel,3082,83,17-Jun-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5046,1082,190.25,2082,3689.98,E,7011,-269.32
Prince,3030,31,10-Feb-05,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1030,1250.24,2030,4505,Eric,7019,-1413.12
Robert,3071,72,8-Aug-55,"500 W. University Ave, El Paso, TX 79968",(915) 747-5035,1071,1223.55,2071,2907.59,Evans,5198,-329.08
Daniel,3083,84,24-Mar-86,"500 W. University Ave, El Paso, TX 79968",(915) 747-5047,1083,214.25,2083,1020.81,F,7196,-814.22
Daniel,3084,85,18-Nov-77,"500 W. University Ave, El Paso, TX 79968",(915) 747-5048,1084,1930.6,2084,3788.92,G,8439,-1101.55
Eduardo,3049,50,2-Jun-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5013,1049,1243.42,2049,1243.48,Garcia,6262,-862.06
Hernan,3056,57,30-Mar-42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5020,1056,135.23,2056,3011.8,Garcia,8216,-990.67
Judith,3062,63,7-Mar-97,"500 W. University Ave, El Paso, TX 79968",(915) 747-5026,1062,1740.54,2062,3508.77,Garcia,5693,-444.56
Juan,3060,61,9-Jan-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5024,1060,526.23,2060,3227.73,Gutierrez,9566,-1581.21
Daniel,3085,86,2-May-37,"500 W. University Ave, El Paso, TX 79968",(915) 747-5049,1085,1326.34,2085,3465.11,H,9853,-1977.56
Sofia,3073,74,20-Apr-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5037,1073,1515.79,2073,740.81,Hernandez,9291,-1721.04
Captaiin,3026,27,12-May-01,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1026,369.27,2026,3295.28,Hook,9203,-1813.88
Daniel,3086,87,23-Dec-35,"500 W. University Ave, El Paso, TX 79968",(915) 747-5050,1086,1927.47,2086,2348.02,I,7232,-1927.99
Daniel,3087,88,20-Oct-43,"500 W. University Ave, El Paso, TX 79968",(915) 747-5051,1087,1924.71,2087,2813.64,J,8702,-986.39
Anthony,3041,42,8-Dec-44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5005,1041,661.74,2041,547.41,Jasso,3753,-530.31
Daniel,3088,89,8-May-73,"500 W. University Ave, El Paso, TX 79968",(915) 747-5052,1088,1082.73,2088,3471.09,K,6307,-88.26
Shere,3025,26,21-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1025,688.77,2025,1735.62,Khan,7035,-115.92
Simba,3023,24,21-Dec-35,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1023,1472.05,2023,1684.46,King,8835,-1863.46
Daniel,3089,90,19-Jul-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5053,1089,585.99,2089,180.84,L,9320,-777.42
Laurence,3064,65,11-Mar-10,"500 W. University Ave, El Paso, TX 79968",(915) 747-5028,1064,1079.13,2064,4572.26,Labayen,5079,-1064.52
Isaiah,3057,58,28-Feb-28,"500 W. University Ave, El Paso, TX 79968",(915) 747-5021,1057,1816.52,2057,1600.38,Landin,6858,-407.11
Buzz,3016,17,12-Mar-63,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1016,629.61,2016,33.53,Lightyear,3624,-1215.99
Scar,3022,23,29-Jul-29,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1022,941.51,2022,4326.32,Lion,4563,-140.99
Federico,3052,53,18-Jan-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5016,1052,1917.27,2052,2348.86,Marin,3977,-267.18
Joseph,3059,60,18-Sep-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5023,1059,903.51,2059,3790.64,Medina - Sandoval,8612,-678.52
Daniel,3077,78,29-Jan-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5041,1077,1887.12,2077,2051.62,Mejia,7600,-1231.96
Manuel,3066,67,18-Mar-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5030,1066,1311.35,2066,4334.35,Melendez Lujan,7545,-1003.98
Ursela,3018,19,30-Jun-00,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1018,1333.17,2018,1503.63,Mermaid,6570,-1147.68
Alberto,3036,37,5-Oct-38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1036,474.59,2036,3710.89,Miranda,3649,-150.6
Ervey,3050,51,5-Mar-59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5014,1050,1584.85,2050,1304.98,Montes,5439,-677.71
Mickey,3000,1,25-Apr-92,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1000,403.12,2000,4479.46,Mouse,9151,-1653.84
Minnie,3002,3,3-Nov-94,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1002,1894.16,2002,327.99,Mouse,3442,-239.31
Daniel,3090,91,4-Mar-59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5054,1090,364.34,2090,2226.15,N,4837,-1623.03
Grecia,3055,56,1-Aug-60,"500 W. University Ave, El Paso, TX 79968",(915) 747-5019,1055,1622.04,2055,2738.6,Navarrete,9764,-305.52
Daniel,3091,92,16-Sep-03,"500 W. University Ave, El Paso, TX 79968",(915) 747-5055,1091,1710.28,2091,2761.08,O,7732,-0.1
Gildardo,3054,55,13-Mar-51,"500 W. University Ave, El Paso, TX 79968",(915) 747-5018,1054,291.85,2054,179.25,Orea,4072,-1514.01
Mauricio,3068,69,7-Aug-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5032,1068,192.14,2068,1218.43,Ornelas-Gutierrez,6395,-1129.63
Daniel,3092,93,16-Feb-03,"500 W. University Ave, El Paso, TX 79968",(915) 747-5056,1092,1069.19,2092,3519.67,P,7626,-1963.63
Peter,3014,15,29-May-87,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1014,41.62,2014,2252.52,Pan,5699,-1137.78
Daniel,3093,94,7-Feb-71,"500 W. University Ave, El Paso, TX 79968",(915) 747-5057,1093,498.13,2093,205.32,Q,4002,-673.84
Evil,3028,29,19-Dec-42,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1028,238.09,2028,4844.83,Queen,7647,-367.09
Daniel,3094,95,20-Apr-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5058,1094,745.03,2094,1288.97,R,9008,-1040.57
Juan,3061,62,29-Apr-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5025,1061,1851.26,2061,3607.48,Rabelo,3109,-674.27
Khandoker,3076,77,15-Jun-57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5040,1076,220.57,2076,1902.09,Rahad,4822,-157.39
Estevan,3051,52,15-Dec-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5015,1051,760.91,2051,2939.07,Ramos,6176,-860.87
Christopher,3045,46,4-May-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5009,1045,1330.23,2045,4039.37,Reyes,9283,-444.4
Alfredo,3039,40,14-Feb-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5003,1039,1772.98,2039,3443.94,Rodriguez,4766,-1734.35
Jose,3058,59,8-Sep-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5022,1058,398.46,2058,789.31,Rodriguez Ortega,8718,-405.22
Manuel,3067,68,30-Dec-42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5031,1067,870.6,2067,1038.13,Ruvalcaba,5787,-326.57
Daniel,3095,96,8-Jan-91,"500 W. University Ave, El Paso, TX 79968",(915) 747-5059,1095,1197.47,2095,2944.12,S,7282,-718.69
Daniel,3096,97,22-Oct-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5060,1096,894.63,2096,4884.23,T,5066,-828.59
Yulianna,3074,75,20-Aug-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5038,1074,1035.19,2074,3391.57,Torres,5431,-1545.62
Daniel,3097,98,27-May-88,"500 W. University Ave, El Paso, TX 79968",(915) 747-5061,1097,417.42,2097,840.66,U,6171,-978.33
Daniel,3098,99,25-Aug-06,"500 W. University Ave, El Paso, TX 79968",(915) 747-5062,1098,1187.71,2098,2405.55,V,8400,-1052.86
Daniel,3099,100,14-Jun-96,"500 W. University Ave, El Paso, TX 79968",(915) 747-5063,1099,1239.64,2099,261.75,W,7958,-470.23
Daniel,3100,101,25-Nov-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5064,1100,122.74,2100,4668.29,X,5540,-817.67
Daniel,3101,102,12-Mar-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5065,1101,738.93,2101,3810.87,Y,6534,-199.91
Daniel,3102,103,9-Aug-56,"500 W. University Ave, El Paso, TX 79968",(915) 747-5066,1102,1825.29,2102,4635,Z,5697,-649.08
Arae,3042,43,20-Sep-14,"500 W. University Ave, El Paso, TX 79968",(915) 747-5006,1042,1994.56,2042,4248.79,Zarzosa,8629,-268.92
