Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
95,Daniel,R,20-Apr-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5058,1094,745.03,2094,1288.97,3094,9008.0,-1040.57
52,Estevan,Ramos,15-Dec-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5015,1051,4760.91,2051,2939.07,3051,6176.0,-860.87
96,Daniel,S,8-Jan-91,"500 W. University Ave, El Paso, TX 79968",(915) 747-5059,1095,1197.47,2095,2944.12,3095,7282.0,-718.69
97,Daniel,T,22-Oct-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5060,1096,894.63,2096,4884.23,3096,5066.0,-828.59
58,Isaiah,Landin,28-Feb-28,"500 W. University Ave, El Paso, TX 79968",(915) 747-5021,1057,5816.52,2057,1600.38,3057,6858.0,-407.11
98,Daniel,U,27-May-88,"500 W. University Ave, El Paso, TX 79968",(915) 747-5061,1097,417.42,2097,840.66,3097,6171.0,-978.33
49,Derek,Aguirre,5-May-41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,1048,5880.03,2048,3352.49,3048,8899.0,-58.57
50,Eduardo,Garcia,2-Jun-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5013,1049,5243.42,2049,1243.48,3049,6262.0,-862.06
60,Joseph,Medina - Sandoval,18-Sep-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5023,1059,4903.51,2059,3790.64,3059,8612.0,-678.52
99,Daniel,V,25-Aug-06,"500 W. University Ave, El Paso, TX 79968",(915) 747-5062,1098,1187.71,2098,2405.55,3098,8400.0,-1052.86
100,Daniel,W,14-Jun-96,"500 W. University Ave, El Paso, TX 79968",(915) 747-5063,1099,1239.64,2099,261.75,3099,7958.0,-470.23
101,Daniel,X,25-Nov-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5064,1100,122.74,2100,4668.29,3100,5540.0,-817.67
16,Woody,Disney,2-Apr-95,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1015,134.02,2015,2429.23,3015,7932.0,-1005.79
87,Daniel,I,23-Dec-35,"500 W. University Ave, El Paso, TX 79968",(915) 747-5050,1086,1927.47,2086,2348.02,3086,7232.0,-1927.99
88,Daniel,J,20-Oct-43,"500 W. University Ave, El Paso, TX 79968",(915) 747-5051,1087,1924.71,2087,2813.64,3087,8702.0,-986.39
89,Daniel,K,8-May-73,"500 W. University Ave, El Paso, TX 79968",(915) 747-5052,1088,1082.73,2088,3471.09,3088,6307.0,-88.26
3,Minnie,Mouse,3-Nov-94,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1002,1864.66,2002,248.99,3002,3442.0,-239.31
90,Daniel,L,19-Jul-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5053,1089,585.99,2089,180.84,3089,9320.0,-777.42
11,Aladdin,Disney,11-Oct-28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1010,115.62,2010,3337.15,3010,7398.0,-1989.22
91,Daniel,N,4-Mar-59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5054,1090,364.34,2090,2226.15,3090,4837.0,-1623.03
92,Daniel,O,16-Sep-03,"500 W. University Ave, El Paso, TX 79968",(915) 747-5055,1091,1710.28,2091,2761.08,3091,7732.0,-0.1
93,Daniel,P,16-Feb-03,"500 W. University Ave, El Paso, TX 79968",(915) 747-5056,1092,1069.19,2092,3519.67,3092,7626.0,-1963.63
79,Daniel,A,5-Mar-39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,1078,700.0,2078,3057.56,3078,7985.0,-700.0
80,Daniel,B,25-Dec-18,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,1079,662.4,2079,2413.6,3079,8357.0,-1911.51
8,Cinderella,Disney,3-Mar-47,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1007,829.73,2007,2898.94,3007,7415.0,-4.16
81,Daniel,C,25-May-47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,1080,909.74,2080,342.74,3080,9400.0,-505.4
82,Daniel,D,7-Oct-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,1081,731.6,2081,3235.49,3081,9172.0,-883.24
83,Daniel,E,17-Jun-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5046,1082,190.25,2082,3689.98,3082,7011.0,-269.32
40,Alfredo,Rodriguez,14-Feb-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5003,1039,5823.37,2039,3443.94,3039,4766.0,-1734.35
84,Daniel,F,24-Mar-86,"500 W. University Ave, El Paso, TX 79968",(915) 747-5047,1083,214.25,2083,1020.81,3083,7196.0,-814.22
55,Gildardo,Orea,13-Mar-51,"500 W. University Ave, El Paso, TX 79968",(915) 747-5018,1054,4318.6900000000005,2054,179.25,3054,4072.0,-1514.01
85,Daniel,G,18-Nov-77,"500 W. University Ave, El Paso, TX 79968",(915) 747-5048,1084,1930.6,2084,3788.92,3084,8439.0,-1101.55
26,Shere,Khan,21-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1025,561.5699999999999,2025,1735.62,3025,7035.0,-115.92
86,Daniel,H,2-May-37,"500 W. University Ave, El Paso, TX 79968",(915) 747-5049,1085,1326.34,2085,3465.11,3085,9853.0,-1977.56
74,Sofia,Hernandez,20-Apr-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5037,1073,5515.79,2073,740.81,3073,9291.0,-1721.04
46,Christopher,Reyes,4-May-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5009,1045,5363.7699999999995,2045,4039.37,3045,9283.0,-444.4
14,Aurora,Disney,12-Jun-60,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1013,208.98000000000002,2013,4806.74,3013,8372.0,-169.44
23,Scar,Lion,29-Jul-29,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1022,941.51,2022,4261.32,3022,4563.0,-140.99
53,Federico,Marin,18-Jan-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5016,1052,5929.63,2052,2348.86,3052,3977.0,-267.18
73,Roberto,Carrasco,21-Oct-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,1072,5170.360000000001,2072,2408.91,3072,9319.0,-160.0
59,Jose,Rodriguez Ortega,8-Sep-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5022,1058,4409.77,2058,789.31,3058,8718.0,-405.22
70,Minh,Dang,21-Dec-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,1069,4623.42,2069,1691.78,3069,5351.0,-1966.94
45,Cesar,Cabrera,22-Jun-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,1044,5835.080000000001,2044,1685.66,3044,9182.0,-1906.17
31,Prince,Eric,10-Feb-05,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1030,1250.24,2030,4448.0,3030,7019.0,-1413.12
6,Chip,Disney,25-Aug-05,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1005,32.84,2005,3612.14,3005,8089.0,-1451.7
25,Gaston,Disney,11-Aug-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1024,168.24,2024,842.47,3024,3397.0,-1264.11
66,Lidice,Castro Jimenez,27-Jan-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,1065,5942.67,2065,655.67,3065,4080.0,-1930.17
34,Mulan,Disney,14-Oct-79,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1033,1737.78,2033,1216.15,3033,7881.0,-397.68
1,Mickey,Mouse,25-Apr-92,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1000,585.15,2000,4479.46,3000,9151.0,-1653.84
22,Cruella,De Vil,10-Mar-62,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1021,1032.9099999999999,2021,4261.53,3021,7949.0,-319.71
13,Mufassa,Disney,19-Jan-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1012,115.14000000000001,2012,3779.05,3012,7463.0,-1112.18
2,Donald,Duck,7-Apr-94,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1001,1901.12,2001,3491.37,3001,8147.0,-1513.57
57,Hernan,Garcia,30-Mar-42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5020,1056,4169.929999999999,2056,3011.8,3056,8216.0,-990.67
78,Daniel,Mejia,29-Jan-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5041,1077,40887.119999999995,2077,2051.62,3077,7600.0,-1231.96
35,Lilo,Disney,19-Jul-44,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1034,1763.47,2034,1883.89,3034,7722.0,-1715.37
7,Dale,Disney,19-Aug-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1006,843.71,2006,4037.61,3006,3219.0,-53.21
65,Laurence,Labayen,11-Mar-10,"500 W. University Ave, El Paso, TX 79968",(915) 747-5028,1064,5113.24,2064,4572.26,3064,5079.0,-1064.52
19,Ursela,Mermaid,30-Jun-00,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1018,1333.17,2018,1447.63,3018,6570.0,-1147.68
76,Nathan,Aun,6-Aug-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,1075,1352.3,2075,132.29,3075,8789.0,-1240.71
56,Grecia,Navarrete,1-Aug-60,"500 W. University Ave, El Paso, TX 79968",(915) 747-5019,1055,5622.04,2055,2738.6,3055,9764.0,-305.52
77,Khandoker,Rahad,15-Jun-57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5040,1076,220.57,2076,1902.09,3076,4822.0,-157.39
48,David,Baptiste,5-May-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,1047,5076.98,2047,3271.72,3047,7772.0,-281.86
44,Brandon,Bustamante,17-Oct-53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,1043,4380.55,2043,3764.74,3043,6698.0,-1452.54
42,Anthony,Jasso,8-Dec-44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5005,1041,4708.62,2041,547.41,3041,3753.0,-530.31
