From First Name,From Last Name,From Where,Action,To First Name,To Last Name,To Where,Action Amount
Juan,Rabelo,Checking,pays,Daniel,Mejia,Checking,1000
Judith,Garcia,Checking,pays,Daniel,Mejia,Checking,1000
Laura,Blanco,Checking,pays,Daniel,Mejia,Checking,1000
Laurence,Labayen,Checking,pays,Daniel,Mejia,Checking,1000
Lidice,Castro Jimenez,Checking,pays,Daniel,Mejia,Checking,1000
Manuel,Melendez Lujan,Checking,pays,Daniel,Mejia,Checking,1000
Manuel,Ruvalcaba,Checking,pays,Daniel,Mejia,Checking,1000
Mauricio,Ornelas-Gutierrez,Checking,pays,Daniel,Mejia,Checking,1000
Minh,Dang,Checking,pays,Daniel,Mejia,Checking,1000
Oscar,Decena,Checking,pays,Daniel,Mejia,Checking,1000
Robert,Evans,Checking,pays,Daniel,Mejia,Checking,1000
Roberto,Carrasco,Checking,pays,Daniel,Mejia,Checking,1000
Sofia,Hernandez,Checking,pays,Daniel,Mejia,Checking,1000
Yulianna,Torres,Checking,pays,Daniel,Mejia,Checking,1000
Daniel,Mejia,Checking,inquires,,,,
Mickey,Mouse,Savings,withdraws,,,Savings,100
Donald,Duck,Checking,pays,Alberto,Miranda,Checking,48.46
Minnie,Mouse,Savings,withdraws,,,Savings,79
Goofy,Disney,Checking,pays,Alfonso,Beltran,Checking,15.63
Pluto,Disney,Savings,withdraws,,,Savings,77
Chip,Disney,Checking,pays,Alyssandra,Cordero,Checking,50.99
Dale,Disney,Savings,withdraws,,,Savings,54
Cinderella,Disney,Checking,pays,Arae,Zarzosa,Checking,28.81
Ariel,Disney,Savings,withdraws,,,Savings,57
Jasmine,Disney,Checking,pays,Cesar,Cabrera,Checking,28.89
Aladdin,Disney,Savings,withdraws,,,Savings,94
Simba,Disney,Checking,pays,Dafne,Bencomo,Checking,39.29
Mufassa,Disney,Savings,withdraws,,,Savings,67
Aurora,Disney,Checking,pays,Derek,Aguirre,Checking,34.47
Peter,Pan,Savings,withdraws,,,Savings,100
Woody,Disney,Checking,pays,Ervey,Montes,Checking,34.04
Buzz,Lightyear,Savings,withdraws,,,Savings,90
Jafar,Aladdin,Checking,pays,Federico,Marin,Checking,12.36
Ursela,Mermaid,Savings,withdraws,,,Savings,56
Beast,Disney,Checking,pays,Gildardo,Orea,Checking,26.84
Belle,Disney,Savings,withdraws,,,Savings,88
Cruella,De Vil,Checking,pays,Hernan,Garcia,Checking,34.7
Scar,Lion,Savings,withdraws,,,Savings,65
Simba,King,Checking,pays,Jose,Rodriguez Ortega,Checking,11.31
Gaston,Disney,Savings,withdraws,,,Savings,78
Shere,Khan,Checking,pays,Juan,Gutierrez,Checking,41.2
Captaiin,Hook,Savings,withdraws,,,Savings,86
Kaa,Disney,Checking,pays,Judith,Garcia,Checking,11.83
Evil,Queen,Savings,withdraws,,,Savings,86
Pinocchio,Disney,Checking,pays,Laurence,Labayen,Checking,34.11
Prince,Eric,Savings,withdraws,,,Savings,57
Quasimodo,Disney,Checking,pays,Manuel,Melendez Lujan,Checking,25.58
Hercules,Disney,Savings,withdraws,,,Savings,85
Mulan,Disney,Checking,pays,Mauricio,Ornelas-Gutierrez,Checking,36.48
Lilo,Disney,Savings,withdraws,,,Savings,59
Stitch,Disney,Checking,pays,Oscar,Decena,Checking,29.25
Gaston,Disney,Savings,withdraws,,,Savings,74
Mickey,Mouse,Checking,pays,Roberto,Carrasco,Checking,17.97
Donald,Duck,Savings,withdraws,,,Savings,91
Minnie,Mouse,Checking,pays,Yulianna,Torres,Checking,29.5
Goofy,Disney,Savings,withdraws,,,Savings,81
Pluto,Disney,Checking,pays,Alex,Avila,Checking,39.92
Chip,Disney,Savings,withdraws,,,Savings,75
Dale,Disney,Checking,pays,Alfredo,Rodriguez,Checking,50.39
Cinderella,Disney,Savings,withdraws,,,Savings,79
Ariel,Disney,Checking,pays,Anthony,Jasso,Checking,46.88
Jasmine,Disney,Savings,withdraws,,,Savings,59
Aladdin,Disney,Checking,pays,Brandon,Bustamante,Checking,25.16
Simba,Disney,Savings,withdraws,,,Savings,100
Mufassa,Disney,Checking,pays,Christopher,Reyes,Checking,33.54
Mickey,Mouse,Savings,pays,David,Baptiste,Checking,48.46
Donald,Duck,Checking,withdraws,,,Savings,79
Minnie,Mouse,Savings,pays,Eduardo,Garcia,Checking,15.63
Goofy,Disney,Checking,withdraws,,,Savings,77
Pluto,Disney,Savings,pays,Estevan,Ramos,Checking,50.99
Chip,Disney,Checking,withdraws,,,Savings,54
Dale,Disney,Savings,pays,Gavin,Baechle,Checking,28.81
Cinderella,Disney,Checking,withdraws,,,Savings,57
Ariel,Disney,Savings,pays,Grecia,Navarrete,Checking,28.89
Jasmine,Disney,Checking,withdraws,,,Savings,94
Aladdin,Disney,Savings,pays,Isaiah,Landin,Checking,39.29
Simba,Disney,Checking,withdraws,,,Savings,67
Mufassa,Disney,Savings,pays,Joseph,Medina - Sandoval,Checking,34.47
Aurora,Disney,Checking,withdraws,,,Savings,100
Peter,Pan,Savings,pays,Juan,Rabelo,Checking,34.04
Woody,Disney,Checking,withdraws,,,Savings,90
Buzz,Lightyear,Savings,pays,Laura,Blanco,Checking,12.36
Jafar,Aladdin,Checking,withdraws,,,Savings,56
Ursela,Mermaid,Savings,pays,Lidice,Castro Jimenez,Checking,26.84
Beast,Disney,Checking,withdraws,,,Savings,88
Belle,Disney,Savings,pays,Manuel,Ruvalcaba,Checking,34.7
Cruella,De Vil,Checking,withdraws,,,Savings,65
Scar,Lion,Savings,pays,Minh,Dang,Checking,11.31
Simba,King,Checking,withdraws,,,Savings,78
Gaston,Disney,Savings,pays,Robert,Evans,Checking,41.2
Shere,Khan,Checking,withdraws,,,Savings,86
Captaiin,Hook,Savings,pays,Sofia,Hernandez,Checking,11.83
Kaa,Disney,Checking,withdraws,,,Savings,86
